date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:06	0/0	---M--	200	added ('OK')	text/plain	date:Wed,%2010%20May%202023%2001:36:05%20GMT	http://www.royalclub.tw/robots.txt		(from )
09:36:07	112/112	---M--	200	added ('OK')	text/html	etag:%2270-5c069ca8aa9ef%22	http://www.royalclub.tw/	C:/My%20Websites/REC_FORUM/www.royalclub.tw/index.html	(from )
09:36:08	23058/23058	---M--	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:06%20GMT	http://www.royalclub.tw/bbs3/index.php	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/index.html	(from http://www.royalclub.tw/)
09:36:09	566/566	---M--	200	added ('OK')	text/css	etag:%22236-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet54d3.css	(from http://www.royalclub.tw/bbs3/index.php)
09:36:09	203/203	---M--	200	added ('OK')	text/css	etag:%22cb-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/en/stylesheet.css?assets_version=1	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/en/stylesheet54d3.css	(from http://www.royalclub.tw/bbs3/index.php)
09:36:09	9834/9834	---M--	200	added ('OK')	text/css	etag:%22266a-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/responsive.css?assets_version=1	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/responsive54d3.css	(from http://www.royalclub.tw/bbs3/index.php)
09:36:10	20764/20764	---M--	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:09%20GMT	http://www.royalclub.tw/bbs3/index.php?sid=26a2274b79ef2ab8be0813b6e6e89915	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/indexadb1.html	(from http://www.royalclub.tw/bbs3/index.php)
09:36:11	11593/11593	---M--	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:10%20GMT	http://www.royalclub.tw/bbs3/search.php?sid=26a2274b79ef2ab8be0813b6e6e89915	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/searchadb1.html	(from http://www.royalclub.tw/bbs3/index.php)
09:36:12	41516/41516	---M--	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:10%20GMT	http://www.royalclub.tw/bbs3/search.php?search_id=unanswered&sid=26a2274b79ef2ab8be0813b6e6e89915	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/search8554.html	(from http://www.royalclub.tw/bbs3/index.php)
09:36:12	12795/12795	---M--	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:11%20GMT	http://www.royalclub.tw/bbs3/search.php?search_id=active_topics&sid=26a2274b79ef2ab8be0813b6e6e89915	C:/My%20Websites/REC_FORUM/www.royalclub.tw/bbs3/search8871.html	(from http://www.royalclub.tw/bbs3/index.php)
